# 完整提示词库 - 可直接修改顺序
# 格式：序号|名称|内容
# 修改序号来调整显示顺序，数字越小越靠前

1|思路|我不是让你直接执行这个需求。请你先按照以下步骤进行：1. 分析当前的实现逻辑，包括功能流程、涉及的关键模块或文件。2. 基于我的[新需求]，说明如果要实现，需要对哪些部分做出修改（请尽量细化到模块/文件层级）。3. 暂时不要改代码！只需要你说明改动思路，列出受影响的地方，并说明为什么。分析清楚之后，我会告诉你是否可以开始修改代码。
2|Test|先测试再提交
3|简单|Please list comprehensive and structured about
2|小学|用小学学历的成年人能理解的方式来表达, 最好系统且全面的讲解关于
3|出错|问题仍然没有解决。请你把有关< >的逻辑替我梳理一遍，然后对于关键环节和参数做一下调试，这样我们分析输出日志，找出问题所在。
4|坚韧|在这个问题上我们已经修改多次，仍然没有效果，我怀疑是因为该部分的代码因为多次迭代导致了结构复杂，产生了不必要的嵌套，导致你的更新无法生效。我建议你完全删除这部分的逻辑，根据我们讨论的实际需求重新写代码，这样可以避免你的更新被原有逻辑影响
30|记录问题|很好。问题解决了。请帮我生成一个问题排除的文档，记录这次问题的原因和解决的办法以供将来遇到类似问题的时候参考。后续如果有典型问题解决了，也会用这个文档记录下来。
36|Debug|Reflect on 5-7 different possible sources of the problem, distill those down to 1-2 most likely sources then add logs to validate your assumptions before we move onto implementing the actual code fix
37|改良|I will give you a rough or vague prompt. Please improve it systematically using the six core principles of context engineering: 1. Clarify the Task Goal: Rephrase the underlying objective of the task and what kind of output is desired. 2. Identify Necessary Context: List all relevant information, background knowledge, data, or constraints required to accomplish this task well. 3. Organize the Input Structurally: Recommend how to format the prompt clearly using structured blocks (e.g., Markdown sections, bullet points, code blocks). 4. Suggest Compression or Prioritization: Indicate which parts could be summarized or removed, and how to prioritize key content to fit within token limits. 5. Produce an Improved Prompt Template: Rewrite the original prompt into a clearer, more complete version based on the above improvements. 6. Anticipate Edge Cases or Weak Spots (Optional): Briefly reflect on any remaining issues that might confuse the model and how to iterate further. Now please start by improving the following prompt:
1|总结|Make an extensive summary of the article.
4|类比|List all analogies and metaphors the author used in this article, and with concise explanations.
5|科学|List all scientific findings in the article.
6|不常|Make a word list that are less common in the article.
7|常见|Make a phrase list in this article.
8|无敌|Please like a super pro list comprehensive and structured I can get most out of them from ChatGPT as many as possible about
